2003 12 01 07 25  24.74 295.05   0.17 100.90 612.0
2003 12 01 07 30  25.41 288.88   0.25 101.00 612.0
2003 12 01 07 35  25.41 288.88   0.25 101.00 612.0
2003 12 01 07 40  25.41 288.88   0.25 101.00 612.0
2003 12 01 07 45  25.60 288.82   0.36 101.00 612.2
2003 12 01 07 50  25.60 288.82   0.36 101.00 612.2
2003 12 01 07 55  25.60 288.82   0.36 101.00 612.2
2003 12 01 08 00  24.52 291.89   0.52 101.00 612.4
2003 12 01 08 05  24.52 291.89   0.52 101.00 612.4
2003 12 01 08 10  24.52 291.89   0.52 101.00 612.4
2003 12 01 08 15  22.97 285.48   0.61 101.00 612.5
2003 12 01 08 20  20.97 278.65   0.56 101.00 612.8
2003 12 01 08 25  20.97 278.65   0.56 101.00 612.8
2003 12 01 08 30  20.97 278.65   0.56 101.00 612.8
2003 12 01 08 35  20.97 278.65   0.56 101.00 612.8
2003 12 01 08 40  20.97 278.65   0.56 101.00 612.8
2003 12 01 08 45  21.70 272.51   0.60 101.00 612.8
2003 12 01 08 50  21.70 272.51   0.60 101.00 612.8
2003 12 01 08 55  21.70 272.51   0.60 101.00 612.8
2003 12 01 09 00  20.00 272.93   0.77 101.00 612.9
2003 12 01 09 05  20.00 272.93   0.77 101.00 612.9
2003 12 01 09 10  20.00 272.93   0.77 101.00 612.9
2003 12 01 09 15  17.90 269.08   1.21 101.00 613.0
2003 12 01 09 20  17.90 269.08   1.21 101.00 613.0
2003 12 01 09 25  17.90 269.08   1.21 101.00 613.0
2003 12 01 09 30  14.83 263.00   1.00 101.00 613.2
2003 12 01 09 35  14.83 263.00   1.00 101.00 613.2
2003 12 01 09 45  12.83 254.94   0.79 101.00 613.3
2003 12 01 09 50  12.83 254.94   0.79 101.00 613.3
2003 12 01 09 55  12.83 254.94   0.79 101.00 613.3
2003 12 01 10 00  12.89 253.43   0.87 101.00 613.2
2003 12 01 10 05  12.89 253.43   0.87 101.00 613.2
2003 12 01 10 10  12.89 253.43   0.87 101.00 613.2
2003 12 01 10 15  12.89 253.43   0.87 101.00 613.2
2003 12 01 10 20  16.56 254.76   0.98 101.00 612.7
2003 12 01 10 25  16.56 254.76   0.98 101.00 612.7
2003 12 01 10 30  16.56 254.76   0.98 101.00 612.7
2003 12 01 10 35  16.70 258.06   0.96 101.00 612.6
2003 12 01 10 40  16.70 258.06   0.96 101.00 612.6
2003 12 01 10 45  16.70 258.06   0.96 101.00 612.6
2003 12 01 10 50  16.70 258.06   0.96 101.00 612.6
2003 12 01 10 55  16.70 258.06   0.96 101.00 612.6
2003 12 01 11 00  16.84 249.83   0.80 101.00 612.7
2003 12 01 11 05  16.84 249.83   0.80 101.00 612.7
2003 12 01 11 10  16.84 249.83   0.80 101.00 612.7
