2001 01 01 00 09  20.18 266.63   4.10   6.27 615.13
2001 01 01 00 19  22.39 277.00   3.95   6.86 615.09
2001 01 01 00 29  22.29 277.70   3.83   6.57 615.08
2001 01 01 00 39  24.48 278.84   3.59   6.72 615.17
2001 01 01 00 49  23.97 278.84   3.51   6.49 615.22
2001 01 01 00 59  24.72 280.67   3.46   7.08 615.22
2001 01 01 01 09  25.21 277.70   3.39   7.18 615.09
2001 01 01 01 19  23.61 280.95   3.71   6.62 614.99
2001 01 01 01 29  23.88 279.02   3.83   5.68 614.77
2001 01 01 01 39  25.81 278.49   3.83   6.84 614.83
2001 01 01 01 49  24.53 279.98   3.71   6.98 614.73
2001 01 01 01 59  26.73 279.02   3.46   6.15 614.65
2001 01 01 02 09  24.89 280.33   3.39   6.15 614.55
2001 01 01 02 19  21.72 277.26   3.22   6.22 614.47
2001 01 01 02 29  22.92 278.40   2.85   5.71 614.43
2001 01 01 02 39  21.75 276.21   2.73   5.81 614.30
2001 01 01 02 49  19.98 276.73   2.54   5.96 614.22
2001 01 01 02 59  21.17 265.44   2.54   6.10 614.16
2001 01 01 03 09  20.04 277.08   2.41   5.52 614.15
2001 01 01 03 19  15.89 265.06   2.12   5.39 614.01
2001 01 01 03 29  16.44 275.15   2.12   5.05 613.95
2001 01 01 03 39  17.66 274.55   2.24   5.15 613.87
2001 01 01 03 49  22.92 276.36   2.24   6.47 613.84
2001 01 01 03 59  21.08 278.75   2.41   6.93 613.76
2001 01 01 04 09  22.87 259.18   2.41   6.84 613.73
2001 01 01 04 19  23.66 278.85   2.41   6.45 613.75
2001 01 01 04 29  22.66 275.85   2.41   5.74 613.74
2001 01 01 04 39  22.34 276.91   2.41   6.15 613.69
2001 01 01 04 49  23.07 272.79   2.41   6.81 613.67
2001 01 01 04 59  18.72 272.20   2.29   5.15 613.69
2001 01 01 05 09  19.55 271.46   2.12   4.86 613.59
2001 01 01 05 19  20.52 272.60   2.17   4.74 613.64
