1996 11 01 00 09    9.26 189.54   6.22  51.58
1996 11 01 00 19   10.82 167.99   5.55  67.60
1996 11 01 00 29    8.01 177.04   5.27  68.98
1996 11 01 00 39   12.93 178.36   5.32  74.22
1996 11 01 00 49   12.88 182.53   4.86  79.13
1996 11 01 00 59   14.25 163.03   4.66  93.07
1996 11 01 01 09   20.58 144.70   4.72  97.96
1996 11 01 01 19   14.86 146.16   4.31  97.87
1996 11 01 01 29   14.51 142.78   4.43  97.83
1996 11 01 01 39   15.47 153.87   4.44  97.81
1996 11 01 01 49   17.66 143.57   4.36  97.79
1996 11 01 01 59   18.29 154.57   4.55  97.76
1996 11 01 02 09   15.00 136.86   4.29  97.75
1996 11 01 02 19   12.15 140.06   4.08  97.75
1996 11 01 02 29   12.53 153.48   4.13  97.74
1996 11 01 02 39   15.35 142.74   4.05  97.75
1996 11 01 02 49   14.17 129.00   4.08  97.74
1996 11 01 02 59   14.71 129.01   3.95  97.74
1996 11 01 03 09   12.69 151.63   3.65  97.73
1996 11 01 03 19   15.37 157.51   3.85  97.75
1996 11 01 03 29   12.14 164.05   3.45  97.74
1996 11 01 03 39   15.02 150.28   3.28  97.75
1996 11 01 03 49    5.77 168.33   3.19  97.74
1996 11 01 03 59   12.92 158.00   2.86  97.75
1996 11 01 04 09    7.07 176.15   2.36  97.76
1996 11 01 04 19    8.97 169.57   2.45  97.75
1996 11 01 04 29    8.00 143.93   2.63  97.74
1996 11 01 04 39    4.99 148.07   2.80  97.75
1996 11 01 04 49    9.12 158.73   2.81  97.74
1996 11 01 04 59    7.56 142.70   2.63  97.74
1996 11 01 05 09    4.13 176.12   2.53  97.74
1996 11 01 05 19    4.56 146.36   2.81  97.74
1996 11 01 05 29    4.24 157.18   2.95  97.74
1996 11 01 05 39    7.74 158.03   2.90  97.74
1996 11 01 05 49    8.50 145.40   2.94  97.74
1996 11 01 05 59    9.22 152.43   3.15  97.74
1996 11 01 06 09   11.35 145.19   3.20  97.74
1996 11 01 06 19   14.20 139.46   3.27  97.74
1996 11 01 06 29   14.50 135.06   3.14  97.74
1996 11 01 06 39   13.57 139.97   3.16  97.73
1996 11 01 06 49   14.63 142.47   3.10  97.74
1996 11 01 06 59   10.57 142.72   3.44  97.74
1996 11 01 07 09    9.16 141.28   3.26  97.74
1996 11 01 07 19   11.18 145.67   3.34  97.75
1996 11 01 07 29    8.66 134.38   3.23  97.73
