1995 03 01 00 00   28.61 292.11    NaN  40.47
1995 03 01 00 10   27.31 306.54    NaN  40.16
1995 03 01 00 20   29.55 300.14    NaN  44.20
1995 03 01 00 30   25.91 311.62    NaN  41.30
1995 03 01 00 40   29.72 290.70    NaN  35.32
1995 03 01 00 50   31.07 289.14    NaN  38.40
1995 03 01 01 00   32.30 298.15    NaN  38.87
1995 03 01 01 10   32.81 292.50    NaN  42.19
1995 03 01 01 20   31.24 284.20    NaN  41.90
1995 03 01 01 30   32.48 298.60    NaN  37.89
1995 03 01 01 40   31.20 287.73    NaN  40.44
1995 03 01 01 50   30.38 310.16    NaN  39.50
1995 03 01 02 00   25.95 299.93    NaN  38.03
1995 03 01 02 10   26.56 279.09    NaN  38.10
1995 03 01 02 20   29.70 297.29    NaN  36.00
1995 03 01 02 30   23.74 292.82    NaN  38.33
1995 03 01 02 40   22.79 285.45    NaN  38.74
1995 03 01 02 50   28.95 293.71    NaN  41.22
1995 03 01 03 00   30.09 300.32    NaN  45.03
1995 03 01 03 10   19.99 292.45    NaN  36.45
1995 03 01 03 20   22.47 305.81    NaN  37.02
1995 03 01 03 30   24.57 291.80    NaN  34.56
1995 03 01 03 40   27.40 297.38    NaN  34.71
1995 03 01 03 50   24.25 299.25    NaN  38.65
1995 03 01 04 00   32.28 307.83    NaN  42.58
1995 03 01 04 10   22.44 298.03    NaN  41.44
1995 03 01 04 20   28.11 302.51    NaN  42.67
1995 03 01 04 30   20.87 288.86    NaN  44.55
1995 03 01 04 40   22.09 294.34    NaN  43.26
1995 03 01 04 50   20.52 296.34    NaN  43.48
1995 03 01 05 00   20.73 301.26    NaN  42.40
1995 03 01 05 10   21.83 306.22    NaN  39.36
1995 03 01 05 20   23.51 292.50    NaN  40.14
1995 03 01 05 30   26.23 305.32    NaN  33.62
1995 03 01 05 40   17.86 286.88    NaN  36.21
1995 03 01 05 50   23.30 284.41    NaN  36.38
1995 03 01 06 00   23.68 308.41    NaN  37.64
1995 03 01 06 10   22.09 270.70    NaN  39.08
1995 03 01 06 20   19.28 278.46    NaN  37.15
1995 03 01 06 30   24.52 319.49    NaN  37.80
1995 03 01 06 40   21.06 300.10    NaN  38.87
1995 03 01 06 50   21.26 291.95    NaN  41.15
1995 03 01 07 00   20.39 299.07    NaN  34.81
1995 03 01 07 10   19.15 294.90    NaN  34.51
1995 03 01 07 20   22.67 258.87    NaN  30.70
1995 03 01 07 30   20.15 268.62    NaN  26.78
