1999 05 01 00 09   10.08 289.75   6.86  23.78
1999 05 01 00 19   10.37 267.17   6.90  16.97
1999 05 01 00 29    8.81 305.56   6.86  23.54
1999 05 01 00 39    8.21 276.82   6.54  18.65
1999 05 01 00 49    5.30 282.90   6.54  20.49
1999 05 01 00 59    6.19 259.36   6.61  18.31
1999 05 01 01 09    8.45 280.95   6.86  13.09
1999 05 01 01 19   12.42 272.79   6.61  23.34
1999 05 01 01 29   14.82 283.67   6.61  16.38
1999 05 01 01 39   13.15 259.51   6.15  16.16
1999 05 01 01 49   13.35 259.80   6.49  14.06
1999 05 01 01 59   11.25 274.29   6.12  19.31
1999 05 01 02 09    9.69 234.32   5.76  22.96
1999 05 01 02 19    8.52 250.35   5.57  26.86
1999 05 01 02 29    9.49 273.58   5.92  34.48
1999 05 01 02 39    5.93 250.94   5.20  28.42
1999 05 01 02 49    6.67 264.44   4.05  37.75
1999 05 01 02 59    8.71 270.32   3.95  40.78
1999 05 01 03 09    7.74 286.84   4.83  32.38
1999 05 01 03 19    6.82 258.11   4.66  28.79
1999 05 01 03 29    6.00 252.43   4.23  29.76
1999 05 01 03 39    9.25 227.20   4.35  29.52
1999 05 01 03 49    5.30 233.18   4.54  26.25
1999 05 01 03 59    7.44 266.72   4.30  24.52
1999 05 01 04 09    8.86 248.02   4.05  24.18
1999 05 01 04 19    7.84 243.29   3.83  26.95
1999 05 01 04 29    8.18 252.18   3.51  28.05
1999 05 01 04 39    8.03 255.23   3.34  29.58
1999 05 01 04 49    8.43 258.29   3.14  28.71
1999 05 01 04 59    7.56 214.12   2.97  31.10
1999 05 01 05 09    6.47 217.56   2.24  31.72
1999 05 01 05 19    3.53 214.12   2.36  29.74
1999 05 01 05 29    5.78 227.03   2.41  31.64
1999 05 01 05 39    4.56 207.79   2.41  23.34
1999 05 01 05 49    2.81 225.09   1.92  15.23
1999 05 01 05 59    4.41 222.38   1.56  14.55
1999 05 01 06 09    4.46 224.64   1.44  12.79
1999 05 01 06 19    9.64 245.81   1.56  11.18
1999 05 01 06 29   10.62 172.76   1.63  11.21
1999 05 01 06 39   12.32 244.98   1.68  11.82
1999 05 01 06 49    9.96 258.56   1.75  15.60
1999 05 01 06 59   12.06 227.81   1.87  21.61
1999 05 01 07 09    9.39 260.44   1.87  24.29
1999 05 01 07 19    8.43 204.72   1.50  36.72
1999 05 01 07 29    8.87 241.77   1.50  38.20
1999 05 01 07 39    9.69 231.93   1.38  38.56
1999 05 01 07 49    7.84 248.55   1.63  35.72
1999 05 01 07 59   10.57 215.63   1.39  27.42
1999 05 01 08 09   10.34 255.92   1.51  17.11
1999 05 01 08 19   10.77 234.57   1.80  20.02
1999 05 01 08 29   12.27 241.94   1.68  16.82
1999 05 01 08 39   11.53 223.69   1.68  14.01
1999 05 01 08 49   11.24 173.84   1.80  13.18
1999 05 01 08 59    7.45 228.95   2.00  12.94
1999 05 01 09 09    9.94 247.22   2.00  12.50
1999 05 01 09 19    8.96 215.95   1.92  11.55
1999 05 01 09 29    6.56 170.11   1.92  12.01
1999 05 01 09 39    7.51 244.56   1.88  11.87
1999 05 01 09 49    7.90 269.09   1.88  13.04
1999 05 01 09 59    7.99 163.58   1.88  13.45
1999 05 01 10 09   11.25 245.35   1.88  13.16
1999 05 01 10 19    9.50 217.74   1.77  13.18
1999 05 01 10 29   11.66 242.49   1.44  13.89
1999 05 01 10 39    8.43 202.42   1.31  14.60
1999 05 01 10 49   11.55 227.18   1.27  13.38
1999 05 01 10 59   10.81 246.95   1.51  13.43
1999 05 01 11 09   13.20 196.26   1.63  13.45
1999 05 01 11 19    9.06 255.75   1.32  14.18
1999 05 01 11 29    9.75 224.30   1.07  14.99
1999 05 01 11 39   11.74 216.77   1.02  15.11
1999 05 01 11 49   12.66 244.77   0.90  14.67
1999 05 01 11 59   14.08 215.89   1.02  14.16
1999 05 01 12 09   14.87 246.17   0.77  13.87
