1993 05 01 00 00   20.70 294.36   9.14 148.47
1993 05 01 00 10   20.76 280.58   8.59 148.34
1993 05 01 00 20   17.62 296.45   8.71 148.29
1993 05 01 00 30   17.44 269.18   8.58 148.21
1993 05 01 00 40    9.10 253.91   8.52 148.37
1993 05 01 00 50   13.32 283.13   7.86 148.17
1993 05 01 01 00   12.82 259.57   7.59 147.85
1993 05 01 01 10   15.03 265.90   6.94 147.77
1993 05 01 01 20   21.15 278.77   6.24 147.48
1993 05 01 01 30   19.25 278.28   6.01 147.32
1993 05 01 01 40   21.06 276.38   6.32 147.40
1993 05 01 01 50   16.28 290.33   5.13 147.08
1993 05 01 02 00   14.85 266.01   4.76 147.02
1993 05 01 02 10   18.42 268.90   3.96 146.72
1993 05 01 02 20   17.06 263.88   3.51 146.56
1993 05 01 02 30   18.72 286.29   2.75 146.35
1993 05 01 02 40   16.29 280.32   2.98 146.33
1993 05 01 02 50   16.56 265.62   1.99 146.13
1993 05 01 03 00   18.94 277.52   1.29 145.86
1993 05 01 03 10   19.41 286.64   0.87 145.72
1993 05 01 03 20   16.13 291.01   0.83 145.70
1993 05 01 03 30   16.65 276.62   0.05 145.51
1993 05 01 03 40   16.96 273.02  -0.67 145.29
1993 05 01 03 50   16.45 277.99  -1.25 145.07
1993 05 01 04 00   11.26 270.35  -1.36 144.96
1993 05 01 04 10   13.64 278.69  -2.64 144.71
1993 05 01 04 20   17.10 266.82  -3.37 144.32
1993 05 01 04 30   11.54 276.82  -2.20 144.58
1993 05 01 04 40   21.09 263.43  -2.00 144.69
1993 05 01 04 50   16.28 263.42  -2.07 144.76
1993 05 01 05 00   19.97 280.85  -2.28 144.65
1993 05 01 05 10   19.63 266.29  -2.71 144.56
1993 05 01 05 20   20.46 269.28  -3.18 144.42
1993 05 01 05 30   21.59 262.79  -3.78 144.25
1993 05 01 05 40   21.55 276.09  -5.08 143.87
1993 05 01 05 50   22.11 268.52  -5.35 143.72
1993 05 01 06 00   17.29 275.02  -4.79 143.86
1993 05 01 06 10   14.30 277.71  -4.95 143.86
1993 05 01 06 20   15.41 280.46  -4.28 144.02
1993 05 01 06 30   13.63 280.43  -4.08 144.15
1993 05 01 06 40   11.88 272.40  -3.62 144.17
1993 05 01 06 50   11.32 277.37  -4.65 144.03
1993 05 01 07 00   10.60 279.31  -5.50 143.71
1993 05 01 07 10   12.77 280.46  -4.32 143.87
1993 05 01 07 20   13.65 271.76  -4.22 144.04
1993 05 01 07 30   12.10 256.20  -3.43 144.30
1993 05 01 07 40   13.91 255.30  -3.98 144.25
1993 05 01 07 50   14.09 244.22  -3.59 144.24
1993 05 01 08 00   17.38 250.14  -2.88 144.44
1993 05 01 08 10   14.30 240.59  -1.81 144.78
1993 05 01 08 20   16.64 254.74  -2.21 144.85
1993 05 01 08 30   17.71 250.46  -1.71 144.85
1993 05 01 08 40   15.07 255.50  -1.43 144.98
1993 05 01 08 50   15.59 255.51  -1.27 145.06
1993 05 01 09 00   13.24 264.28  -1.61 144.99
1993 05 01 09 10   12.15 258.34  -1.82 144.86
1993 05 01 09 20   15.70 253.64  -2.38 144.69
1993 05 01 09 30   12.80 251.00  -1.79 144.86
1993 05 01 09 40   12.54 244.68  -1.84 144.90
1993 05 01 09 50   14.46 251.18  -1.91 144.85
1993 05 01 10 00   14.11 250.77  -2.17 144.82
1993 05 01 10 10   14.42 248.69  -1.89 144.82
1993 05 01 10 20   15.20 249.86  -2.51 144.66
1993 05 01 10 30   14.20 255.45  -2.62 144.66
1993 05 01 10 40   15.76 265.93  -3.02 144.53
1993 05 01 10 50   15.46 259.80  -3.81 144.19
1993 05 01 11 00   15.56 255.29  -3.14 144.41
1993 05 01 11 10   15.30 254.27  -3.17 144.51
1993 05 01 11 20   14.09 252.93  -3.17 144.44
1993 05 01 11 30   15.31 258.68  -3.98 144.26
1993 05 01 11 40   11.29 254.70  -4.37 144.05
1993 05 01 11 50   13.16 256.25  -3.32 144.33
1993 05 01 12 00   10.73 259.81  -3.96 144.27
1993 05 01 12 10    9.69 262.76  -3.69 144.25
1993 05 01 12 20   10.34 257.27  -3.34 144.33
1993 05 01 12 30   12.84 253.51  -1.73 144.70
1993 05 01 12 40   12.60 253.70  -2.09 144.80
1993 05 01 12 50   13.35 252.69  -1.17 145.02
1993 05 01 13 00   10.66 255.46  -0.64 145.17
1993 05 01 13 10    9.59 250.73  -0.18 145.32
1993 05 01 13 20    7.06 252.20   0.93 145.59
1993 05 01 13 30    9.24 241.32   1.90 145.79
1993 05 01 13 40    7.03 235.89   3.46 146.44
1993 05 01 13 50   10.81 238.04   2.96 146.28
1993 05 01 14 00   10.06 238.75   2.19 146.26
1993 05 01 14 10   11.32 238.03   0.72 145.79
1993 05 01 14 20   10.83 242.76   1.54 145.96
1993 05 01 14 30   14.38 242.04   2.97 146.23
1993 05 01 14 40   14.66 244.60   2.45 146.21
1993 05 01 14 50   13.23 245.21   2.72 146.35
1993 05 01 15 00   14.46 246.04   2.14 146.14
1993 05 01 15 10   14.95 243.92   0.76 145.82
1993 05 01 15 20   15.13 241.68   1.16 145.88
1993 05 01 15 30   16.33 243.15   0.46 145.70
1993 05 01 15 40   17.39 243.90   0.30 145.58
1993 05 01 15 50   18.80 243.76   0.78 145.68
1993 05 01 16 00   16.48 242.05   0.68 145.67
1993 05 01 16 10   19.64 236.72   0.81 145.71
1993 05 01 16 20   20.74 236.99   1.18 145.79
1993 05 01 16 30   18.90 238.78   0.86 145.80
1993 05 01 16 40   20.95 242.42   1.45 145.88
1993 05 01 16 50   22.83 246.21   2.26 146.17
1993 05 01 17 00   24.25 248.08   2.11 146.12
1993 05 01 17 10   25.77 250.16   1.80 146.05
1993 05 01 17 20   23.88 254.42   2.22 146.16
1993 05 01 17 30   24.06 242.66   2.28 146.19
1993 05 01 17 40   23.93 250.26   3.13 146.40
1993 05 01 17 50   23.64 243.40   3.35 146.50
1993 05 01 18 00   20.53 251.33   4.11 146.72
1993 05 01 18 10   25.11 258.09   5.76 147.10
1993 05 01 18 20   21.66 260.00   6.37 147.43
1993 05 01 18 30   19.87 255.54   4.34 146.98
1993 05 01 18 40   22.34 255.76   4.91 146.99
1993 05 01 18 50   21.45 253.01   6.36 147.38
1993 05 01 19 00   24.03 251.50   6.46 147.49
1993 05 01 19 10   24.30 255.04   6.45 147.47
1993 05 01 19 20   20.03 264.49   7.32 147.72
1993 05 01 19 30   20.63 265.26   6.99 147.75
1993 05 01 19 40   24.22 265.65   8.04 147.92
1993 05 01 19 50   26.61 253.77   7.88 147.99
1993 05 01 20 00   19.90 255.32   7.92 147.93
1993 05 01 20 10   22.05 252.04   8.37 148.07
1993 05 01 20 20   28.67 270.85   9.06 148.19
1993 05 01 20 30   24.11 264.91   9.25 148.36
1993 05 01 20 40   18.20 248.44   9.50 148.38
1993 05 01 20 50   24.74 267.60   9.70 148.57
1993 05 01 21 00   26.31 260.62   9.66 148.51
1993 05 01 21 10   25.68 256.12   9.76 148.54
1993 05 01 21 20   23.07 263.06  10.59 148.70
1993 05 01 21 30   20.11 272.92  10.31 148.66
1993 05 01 21 40   25.37 253.52  11.22 148.89
1993 05 01 21 50   27.75 272.59  11.61 149.04
1993 05 01 22 00   24.58 253.92  12.06 149.22
1993 05 01 22 10   26.80 257.87  11.64 149.10
1993 05 01 22 20   24.19 255.56  11.05 148.87
1993 05 01 22 30   25.33 270.73  11.50 149.06
1993 05 01 22 40   23.33 241.26  10.94 148.87
1993 05 01 22 50   19.80 244.72  10.51 148.80
1993 05 01 23 00   20.58 250.88  10.58 148.77
1993 05 01 23 10   26.24 258.50  10.37 148.73
1993 05 01 23 20   24.52 244.13  10.22 148.63
1993 05 01 23 30   22.84 268.01  10.60 148.75
1993 05 01 23 40   27.40 263.96  10.40 148.74
1993 05 01 23 50   30.65 259.82   9.54 148.48
1993 05 02 00 00   23.47 265.17  10.77 148.74
1993 05 02 00 10   25.57 234.15  11.72 149.04
1993 05 02 00 20   30.54 241.36  11.15 148.95
1993 05 02 00 30   25.64 245.41  12.25 149.20
1993 05 02 00 40   27.07 257.65  10.85 148.96
1993 05 02 00 50   24.17 263.47   9.78 148.58
1993 05 02 01 00   30.08 239.52  10.89 148.79
1993 05 02 01 10   26.61 251.70  10.25 148.69
1993 05 02 01 20   23.98 265.25  10.85 148.79
1993 05 02 01 30   24.82 257.76   9.93 148.60
1993 05 02 01 40   25.30 246.22   9.77 148.48
1993 05 02 01 50   27.51 252.64   8.56 148.14
1993 05 02 02 00   31.01 249.85   8.39 148.03
1993 05 02 02 10   31.52 267.32   7.93 147.91
1993 05 02 02 20   28.98 254.38   7.28 147.72
1993 05 02 02 30   29.39 257.26   7.19 147.67
1993 05 02 02 40   27.53 259.07   6.88 147.57
1993 05 02 02 50   27.70 248.37   7.07 147.65
1993 05 02 03 00   28.44 251.68   6.54 147.51
1993 05 02 03 10   26.66 249.53   5.95 147.34
1993 05 02 03 20   29.51 245.66   5.90 147.27
1993 05 02 03 30   29.40 247.82   5.43 147.13
1993 05 02 03 40   26.02 249.87   5.17 147.07
1993 05 02 03 50   23.93 253.65   4.37 146.86
1993 05 02 04 00   26.96 245.33   3.77 146.61
1993 05 02 04 10   23.97 238.05   3.16 146.42
1993 05 02 04 20   27.67 243.11   3.34 146.45
1993 05 02 04 30   26.03 245.79   2.93 146.37
1993 05 02 04 40   27.77 244.95   2.45 146.21
1993 05 02 04 50   31.72 242.43   2.92 146.31
1993 05 02 05 00   27.97 249.61   4.18 146.73
1993 05 02 05 10   31.14 247.90   3.66 146.59
1993 05 02 05 20   26.27 244.13   4.51 146.84
