1997 01 01 09 59   39.58 261.71  -0.07  14.81
1997 01 01 10 09   42.05 257.96  -0.04  14.98
1997 01 01 10 19   41.35 259.61  -0.67  11.61
1997 01 01 10 29   41.74 256.98  -1.06  10.26
1997 01 01 10 39   37.16 258.67  -0.87  11.97
1997 01 01 10 49   47.01 265.57   0.05  14.31
1997 01 01 10 59   42.86 265.69  -0.75  21.12
1997 01 01 11 09   38.18 261.30  -0.91  32.56
1997 01 01 11 19   38.88 260.96  -0.24  27.65
1997 01 01 11 29   39.35 258.91  -0.55  30.86
1997 01 01 11 39   38.42 262.01  -0.88  25.45
1997 01 01 11 49   45.69 257.79  -1.13  26.30
1997 01 01 11 59   43.41 265.53  -1.02  31.29
1997 01 01 12 09   49.03 264.05  -0.99  27.46
1997 01 01 12 19   49.17 262.13  -0.02  30.89
1997 01 01 12 29   41.39 267.24  -0.24  30.23
1997 01 01 12 39   43.91 265.02  -0.66  28.36
1997 01 01 12 49   41.48 260.08  -0.42  38.14
1997 01 01 12 59   44.10 265.10  -0.68  33.93
1997 01 01 13 09   37.50 275.40  -0.52  39.56
1997 01 01 13 19   44.46 265.33  -1.32  39.68
1997 01 01 13 29   42.69 265.74  -0.68  42.29
1997 01 01 13 39   46.36 263.62  -0.16  50.98
1997 01 01 13 49   41.09 267.31  -0.50  48.76
1997 01 01 13 59   39.15 261.04  -1.48  55.03
1997 01 01 14 09   40.50 262.11  -1.34  70.25
1997 01 01 14 19   48.30 261.83  -1.28  47.64
1997 01 01 14 29   41.88 270.47  -0.65  37.22
1997 01 01 14 39   47.68 264.69  -1.29  43.18
1997 01 01 14 49   42.88 264.13  -0.84  32.55
1997 01 01 14 59   40.46 263.22  -0.41  42.31
1997 01 01 15 09   37.22 269.65  -0.89  43.10
1997 01 01 15 19   39.91 266.15  -1.07  51.93
1997 01 01 15 29   37.77 265.68  -0.86  49.50
1997 01 01 15 39   37.37 269.43  -0.70  41.01
1997 01 01 15 49   41.16 269.07  -0.99  43.98
1997 01 01 15 59   34.89 266.67  -0.92  43.31
1997 01 01 16 09   41.37 266.26  -0.70  45.58
1997 01 01 16 19   39.30 261.70  -0.71  45.23
1997 01 01 16 29   40.68 262.73  -0.23  44.01
1997 01 01 16 39   39.88 267.01  -1.32  49.34
1997 01 01 16 49   39.41 258.78  -0.80  64.94
1997 01 01 16 59   39.22 262.70  -0.96  94.04
1997 01 01 17 09   42.68 262.02  -0.51  98.06
1997 01 01 17 19   42.45 261.73  -1.34  85.88
1997 01 01 17 29   41.34 259.51  -0.34  94.40
1997 01 01 17 39   39.38 262.16  -0.75  97.95
1997 01 01 17 49   36.75 257.30  -0.55  92.19
1997 01 01 17 59   42.89 259.79  -0.46  98.06
1997 01 01 18 09   41.44 269.69   0.46  93.16
1997 01 01 18 19   37.64 270.18   0.55  97.95
1997 01 01 18 29   38.22 259.11   0.83  98.02
1997 01 01 18 39   37.51 262.14   0.52  97.94
1997 01 01 18 49   36.98 264.40   0.78  97.97
1997 01 01 18 59   38.00 263.31   0.99  97.98
1997 01 01 19 09   41.79 260.58   1.11  97.95
1997 01 01 19 19   43.93 272.79   1.27  97.95
1997 01 01 19 29   39.78 274.87   0.81  94.48
1997 01 01 19 39   38.38 263.84   0.88  96.02
1997 01 01 19 49   41.75 268.40   1.49  97.94
1997 01 01 19 59   42.45 257.00   1.65  97.92
1997 01 01 20 09   42.75 261.14   1.95  97.89
1997 01 01 20 19   40.69 262.13   1.94  97.92
1997 01 01 20 29   43.79 268.65   1.94  97.81
1997 01 01 20 39   46.81 260.04   1.75  97.89
1997 01 01 20 49   35.90 259.53   2.15  97.91
1997 01 01 20 59   42.92 269.22   1.45  97.90
1997 01 01 21 09   49.37 256.79   2.63  97.84
1997 01 01 21 19   45.13 269.09   2.41  97.86
1997 01 01 21 29   41.11 275.31   2.58  97.96
1997 01 01 21 39   39.76 256.47   2.41  97.94
1997 01 01 21 49   42.07 259.40   1.92  97.93
1997 01 01 21 59   35.82 265.60   2.08  97.13
1997 01 01 22 09   41.17 241.77   2.51  98.03
1997 01 01 22 19   30.14 255.78   1.64  97.93
1997 01 01 22 29   34.11 252.05   2.06  97.84
1997 01 01 22 39   34.85 253.52   2.18  98.04
1997 01 01 22 49   37.49 257.31   1.51  97.90
1997 01 01 22 59   32.65 266.66   1.72  97.90
1997 01 01 23 09   34.20 257.11   1.73  97.90
1997 01 01 23 19   30.75 261.12   1.87  97.85
1997 01 01 23 29   43.40 261.06   1.47  97.81
1997 01 01 23 39   33.29 257.54   1.67  97.81
1997 01 01 23 49   41.79 255.18   1.46  97.81
1997 01 01 23 59   43.45 261.63   2.13  97.79
1997 01 02 00 09   32.65 267.31   1.80  97.84
1997 01 02 00 19   40.43 258.60   1.84  97.77
