1998 03 01 00 09    4.40  98.95   9.55  38.02
1998 03 01 00 19    1.76  98.07   8.55  41.50
1998 03 01 00 29     NaN   1.22   9.70  31.25
1998 03 01 00 39     NaN 340.73  10.28  28.37
1998 03 01 00 49    1.23 297.07  10.82  10.97
1998 03 01 00 59    5.20 310.43  10.49  11.32
1998 03 01 01 09    6.48 274.07  10.93   7.45
1998 03 01 01 19    5.94 315.94  10.72   4.92
1998 03 01 01 29    1.21 296.50  10.74   4.26
1998 03 01 01 39    1.46 305.17  10.53   6.01
1998 03 01 01 49    4.64 308.08  10.90   3.85
1998 03 01 01 59    2.02 325.42  10.84   2.86
1998 03 01 02 09    9.69 332.04  10.91   6.39
1998 03 01 02 19    6.17 306.78  11.06   6.55
1998 03 01 02 29    5.85 308.85  10.46   9.98
1998 03 01 02 39    5.39 313.44  10.05   8.94
1998 03 01 02 49    4.10 289.78  10.05   4.50
1998 03 01 02 59    1.28 292.55   9.57  11.33
1998 03 01 03 09    4.22 304.43   9.61   2.35
1998 03 01 03 19    2.68 282.82   9.80    NaN
1998 03 01 03 29    2.89 271.75   9.94   3.48
1998 03 01 03 39    7.57 285.80   9.83    NaN
1998 03 01 03 49    7.17 290.12   9.33   0.58
1998 03 01 03 59    5.24 292.74   9.06   0.51
1998 03 01 04 09    2.95 294.89   8.93    NaN
1998 03 01 04 19    4.16 277.03   8.72    NaN
1998 03 01 04 29    4.34 265.14   8.32    NaN
1998 03 01 04 39    6.03 288.48   8.22    NaN
1998 03 01 04 49    7.25 291.66   8.03    NaN
1998 03 01 04 59    7.69 279.68   7.83    NaN
1998 03 01 05 09    5.28 286.30   7.70    NaN
1998 03 01 05 19    3.82 218.16   7.55    NaN
1998 03 01 05 29    4.33 290.75   7.55    NaN
1998 03 01 05 39    6.26 291.06   7.68    NaN
1998 03 01 05 49    6.18 271.13   7.57    NaN
1998 03 01 05 59    5.80 303.42   7.55    NaN
1998 03 01 06 09    7.96 288.63   7.46    NaN
1998 03 01 06 19    8.79 276.76   7.31    NaN
1998 03 01 06 29    8.80 288.13   7.34    NaN
1998 03 01 06 39    7.46 287.88   7.39    NaN
1998 03 01 06 49    6.68 291.93   7.35    NaN
1998 03 01 06 59    6.52 297.89   7.32    NaN
1998 03 01 07 09    8.29 287.25   7.31    NaN
1998 03 01 07 19   11.44 292.58   7.26    NaN
1998 03 01 07 29    7.60 295.64   7.31    NaN
1998 03 01 07 39    8.87 282.17   7.24    NaN
1998 03 01 07 49   10.10 293.94   7.36    NaN
1998 03 01 07 59   10.34 291.13   7.11    NaN
1998 03 01 08 09   10.91 290.01   7.31    NaN
1998 03 01 08 19   10.34 286.43   7.30    NaN
1998 03 01 08 29   11.75 288.69   7.21    NaN
1998 03 01 08 39   11.67 143.48   7.32    NaN
1998 03 01 08 49   11.62 290.02   7.31    NaN
1998 03 01 08 59   10.23 285.63   7.02    NaN
1998 03 01 09 09    9.79 272.47   7.13    NaN
1998 03 01 09 19   10.19 292.60   6.91   0.05
1998 03 01 09 29    8.62 237.50   7.09    NaN
1998 03 01 09 39    6.93 292.06   6.97   0.03
1998 03 01 09 49    6.98 268.59   6.99    NaN
1998 03 01 09 59   14.31 278.29   6.98    NaN
1998 03 01 10 09    9.93 277.36   7.17    NaN
1998 03 01 10 19   12.43 276.38   6.93   0.09
1998 03 01 10 29   12.16 271.62   6.66   0.68
1998 03 01 10 39   13.21 281.77   6.68   0.54
1998 03 01 10 49   15.51 275.46   6.97   1.09
1998 03 01 10 59   12.95 269.93   7.08   1.17
1998 03 01 11 09   16.64 279.77   6.58   1.44
1998 03 01 11 19   16.17 282.04   6.58   1.50
1998 03 01 11 29   12.82 283.44   6.79   0.86
1998 03 01 11 39   15.28 289.17   6.95   1.31
1998 03 01 11 49   12.73 288.57   6.57   1.59
1998 03 01 11 59   14.30 276.87   6.64   1.25
