1996 06 01 00 09   10.57  93.00   4.97  15.26
1996 06 01 00 19   13.55  82.09   4.93  17.38
1996 06 01 00 29    8.46  89.80   5.34  15.29
1996 06 01 00 39    9.53  81.34   4.85  12.15
1996 06 01 00 49    8.17  76.41   5.15  13.58
1996 06 01 00 59   10.25  83.17   5.27  16.70
1996 06 01 01 09    8.81  72.74   4.91  15.03
1996 06 01 01 19    8.43  70.52   5.16  14.83
1996 06 01 01 29    8.52  51.30   4.97  17.27
1996 06 01 01 39    6.89  60.63   4.61  16.70
1996 06 01 01 49    8.67  61.67   4.55  18.78
1996 06 01 01 59    8.21  81.78   4.50  17.90
1996 06 01 02 09    4.66  75.93   4.23  15.23
1996 06 01 02 19    5.36  59.99   3.98  16.71
1996 06 01 02 29    7.64  68.52   4.00  15.48
1996 06 01 02 39    7.24  83.21   3.82  14.58
1996 06 01 02 49   10.13  61.62   3.41  16.72
1996 06 01 02 59    8.56  53.72   3.47  16.53
1996 06 01 03 09   12.01  61.73   3.06  16.69
1996 06 01 03 19    8.23  68.31   2.95  15.65
1996 06 01 03 29    9.00  79.84   2.50  15.06
1996 06 01 03 39    9.76  80.72   2.27  16.65
1996 06 01 03 49   11.04  77.40   2.48  15.66
1996 06 01 03 59    9.34  81.27   2.31  15.79
1996 06 01 04 09   13.13  69.53   2.42  15.78
1996 06 01 04 19   10.15  69.17   1.77  15.18
1996 06 01 04 29    8.91  86.78   1.53  16.61
1996 06 01 04 39    7.22  80.65   1.34  15.40
1996 06 01 04 49    9.28  85.26   1.22  11.77
1996 06 01 04 59    9.45  76.42   0.69  13.53
1996 06 01 05 09    9.36  74.49   0.49  14.76
1996 06 01 05 19    9.87  62.66   0.57  11.81
1996 06 01 05 29    8.22  69.09   0.49  13.83
1996 06 01 05 39    7.41  61.29   0.52  13.25
1996 06 01 05 49   12.19  56.27   0.70  11.45
1996 06 01 05 59    9.46  56.31   0.37  12.31
1996 06 01 06 09   10.84  58.76   0.75  10.07
1996 06 01 06 19    8.69  57.36   0.56  13.51
1996 06 01 06 29   11.79  51.28   0.13  10.98
1996 06 01 06 39   10.75  54.12   0.29  10.92
1996 06 01 06 49   11.60  50.82   0.67  11.39
1996 06 01 06 59   11.30  55.81   0.77   9.12
1996 06 01 07 09   11.85  60.64   0.82   9.96
1996 06 01 07 19   12.56  62.42   0.52  10.53
1996 06 01 07 29   12.45  58.67   0.47  11.03
1996 06 01 07 39   10.63  53.83   0.63  10.52
1996 06 01 07 49   11.54  59.85   0.45  11.94
1996 06 01 07 59   13.69  57.52   0.54  12.61
1996 06 01 08 09   12.58  56.19   0.21  11.68
1996 06 01 08 19   12.10  55.10   0.19  13.25
1996 06 01 08 29   11.41  59.21  -0.07  13.54
1996 06 01 08 39   15.38  56.19   0.37  12.63
1996 06 01 08 49   13.66  55.45   0.03  12.20
1996 06 01 08 59   15.51  52.85   0.01  11.95
1996 06 01 09 09   13.27  58.67   0.53  11.83
1996 06 01 09 19   13.90  57.18   0.15  11.53
