1993 09 01 17 19    0.05   0.00    NaN   0.00
1993 09 01 17 29    0.05   0.00    NaN   0.00
1993 09 01 17 39    0.05   0.00    NaN   0.00
1993 09 01 17 49    0.05   0.00    NaN   0.00
1993 09 01 17 59    0.05   0.00    NaN   0.00
1993 09 01 18 09    0.05   0.00    NaN   0.00
1993 09 01 18 19    0.05   0.00    NaN   0.00
1993 09 01 18 29    0.05   0.00    NaN   0.00
1993 09 01 18 39    0.05   0.00    NaN   0.00
1993 09 01 18 49    0.05   0.00    NaN   0.00
1993 09 01 18 59    0.05   0.00    NaN   0.00
1993 09 01 19 09    0.05   0.00    NaN   0.00
1993 09 01 19 19    0.05   0.00    NaN   0.00
1993 09 01 19 29    0.05   0.00    NaN   0.00
1993 09 01 19 39    0.05   0.00    NaN   0.00
1993 09 01 19 49    0.05   0.00    NaN   0.00
1993 09 01 19 59    0.05   0.00    NaN   0.00
1993 09 01 20 09    0.05   0.00    NaN   0.00
1993 09 01 20 19    0.05   0.00    NaN   0.00
1993 09 01 20 29    0.05   0.00    NaN   0.00
1993 09 01 20 39    0.05   0.00    NaN   0.00
1993 09 01 20 49    0.05   0.00    NaN   0.00
1993 09 01 20 59    0.05   0.00    NaN   0.00
1993 09 01 21 09    0.05   0.00    NaN   0.00
1993 09 01 21 19    0.05   0.00    NaN   0.00
1993 09 01 21 29    0.05   0.00    NaN   0.00
1993 09 01 21 39    0.05   0.00    NaN   0.00
1993 09 01 21 49    0.05   0.00    NaN   0.00
1993 09 01 21 59    0.05   0.00    NaN   0.00
1993 09 01 22 09    0.05   0.00    NaN   0.00
1993 09 01 22 19    0.05   0.00    NaN   0.00
1993 09 01 22 29    0.05   0.00    NaN   0.00
1993 09 01 22 39    0.05   0.00    NaN   0.00
1993 09 01 22 49    0.05   0.00    NaN   0.00
1993 09 01 22 59    0.05   0.00    NaN   0.00
1993 09 01 23 09    0.05   0.00    NaN   0.00
1993 09 01 23 19    0.05   0.00    NaN   0.00
1993 09 01 23 29    0.05   0.00    NaN   0.00
1993 09 01 23 39    0.05   0.00    NaN   0.00
1993 09 01 23 49    0.05   0.00    NaN   0.00
1993 09 01 23 59    0.05   0.00    NaN   0.00
1993 09 02 00 09    0.05   0.00    NaN   0.00
1993 09 02 00 19    0.05   0.00    NaN   0.00
1993 09 02 00 29    0.05   0.00    NaN   0.00
1993 09 02 00 39    0.05   0.00    NaN   0.00
1993 09 02 00 49    0.05   0.00    NaN   0.00
1993 09 02 00 59    0.05   0.00    NaN   0.00
1993 09 02 01 09    0.05   0.00    NaN   0.00
1993 09 02 01 19    0.05   0.00    NaN   0.00
1993 09 02 01 29    0.05   0.00    NaN   0.00
1993 09 02 01 39    0.05   0.00    NaN   0.00
1993 09 02 01 49    0.05   0.00    NaN   0.00
1993 09 02 01 59    0.05   0.00    NaN   0.00
1993 09 02 02 09    0.05   0.00    NaN   0.00
1993 09 02 02 19    0.05   0.00    NaN   0.00
1993 09 02 02 29    0.05   0.00    NaN   0.00
1993 09 02 02 39    0.05   0.00    NaN   0.00
1993 09 02 02 49    0.05   0.00    NaN   0.00
1993 09 02 02 59    0.05   0.00    NaN   0.00
1993 09 02 03 09    0.05   0.00    NaN   0.00
1993 09 02 03 19    0.05   0.00    NaN   0.00
1993 09 02 03 29    0.05   0.00    NaN   0.00
1993 09 02 03 39    0.05   0.00    NaN   0.00
1993 09 02 03 49    0.05   0.00    NaN   0.00
1993 09 02 03 59    0.05   0.00    NaN   0.00
1993 09 02 04 09    0.05   0.00    NaN   0.00
1993 09 02 04 19    0.05   0.00    NaN   0.00
1993 09 02 04 29    0.05   0.00    NaN   0.00
1993 09 02 04 39    0.05   0.00    NaN   0.00
1993 09 02 04 49    0.05   0.00    NaN   0.00
1993 09 02 04 59    0.05   0.00    NaN   0.00
1993 09 02 05 09    0.05   0.00    NaN   0.00
1993 09 02 05 19    0.05   0.00    NaN   0.00
1993 09 02 05 29    0.05   0.00    NaN   0.00
1993 09 02 05 39    0.05   0.00    NaN   0.00
1993 09 02 05 49    0.05   0.00    NaN   0.00
1993 09 02 05 59    0.05   0.00    NaN   0.00
1993 09 02 06 09    0.05   0.00    NaN   0.00
1993 09 02 06 19    0.05   0.00    NaN   0.00
1993 09 02 06 29    0.05   0.00    NaN   0.00
1993 09 02 06 39    0.05   0.00    NaN   0.00
1993 09 02 06 49    0.05   0.00    NaN   0.00
1993 09 02 06 59    0.05   0.00    NaN   0.00
1993 09 02 07 09    0.05   0.00    NaN   0.00
1993 09 02 07 19    0.05   0.00    NaN   0.00
1993 09 02 07 29    0.05   0.00    NaN   0.00
1993 09 02 07 39    0.05   0.00    NaN   0.00
1993 09 02 07 49    0.05   0.00    NaN   0.00
1993 09 02 07 59    0.05   0.00    NaN   0.00
1993 09 02 08 09    0.05   0.00    NaN   0.00
1993 09 02 08 19    0.05   0.00    NaN   0.00
1993 09 02 08 29    0.05   0.00    NaN   0.00
1993 09 02 08 39    0.05   0.00    NaN   0.00
1993 09 02 08 49    0.05   0.00    NaN   0.00
1993 09 02 08 59    0.05   0.00    NaN   0.00
1993 09 02 09 09    0.05   0.00    NaN   0.00
1993 09 02 09 19    0.05   0.00    NaN   0.00
1993 09 02 09 29    0.05   0.00    NaN   0.00
1993 09 02 09 39    0.05   0.00    NaN   0.00
1993 09 02 09 49    0.05   0.00    NaN   0.00
1993 09 02 09 59    0.05   0.00    NaN   0.00
