2007 11 01 00 04   14.78      79   -4.31      83   612.6
2007 11 01 00 09   14.78      32   -4.31      84   612.5
2007 11 01 00 14   15.65      46   -4.23      83   612.3
2007 11 01 00 19   17.39      40   -4.18      83   612.2
2007 11 01 00 24   17.39      91   -4.11      85   612.1
2007 11 01 00 29   17.39      10   -4.06      83   612.1
2007 11 01 00 34   16.52      95   -4.06      88   612.1
2007 11 01 00 39   15.65      98   -3.99      84   612.1
2007 11 01 00 44   17.39       8   -3.87      82   612.0
2007 11 01 00 49   15.65      34   -3.74      83   612.0
2007 11 01 00 54   17.39      31   -3.69      80   612.0
2007 11 01 00 59   18.26       8   -3.50      74   611.8
2007 11 01 01 04   22.61      44   -3.33      66   611.6
2007 11 01 01 09   19.13      26   -3.13      77   611.7
2007 11 01 01 14   21.74      77   -3.33      77   611.5
2007 11 01 01 19   21.74      86   -3.38      75   611.4
2007 11 01 01 24   20.00       8   -3.26      77   611.5
2007 11 01 01 29   18.26      88   -3.21      79   611.5
2007 11 01 01 34   17.39      90   -3.38      87   611.4
2007 11 01 01 39   16.52      66   -3.62      90   611.4
2007 11 01 01 44   20.00      90   -3.74      85   611.3
2007 11 01 01 49   16.52      99   -3.57      92   611.3
2007 11 01 01 54   20.00      84   -3.69      95   611.2
2007 11 01 01 59   16.52      42   -3.74      94   611.4
2007 11 01 02 04   15.65      98   -3.82      96   611.3
2007 11 01 02 09   17.39      95   -3.94      96   611.4
2007 11 01 02 14   18.26      21   -3.82      97   611.5
2007 11 01 02 19   18.26      21   -3.69      97   611.4
2007 11 01 02 24   23.48      72   -3.45      98   611.3
2007 11 01 02 29   19.13      30   -3.45      96   611.2
2007 11 01 02 34   19.13      58   -3.57      95   611.3
2007 11 01 02 39   20.00      55   -3.59      93   611.3
2007 11 01 02 44   20.87      14   -3.57      90   611.2
2007 11 01 02 49   20.87      69   -3.45      90   610.9
2007 11 01 02 54   21.74      19   -3.33      87   611.0
2007 11 01 02 59   21.74      48   -3.33      91   610.9
2007 11 01 03 04   19.13      84   -3.26      95   610.8
2007 11 01 03 09   20.00      85   -3.33      94   610.6
2007 11 01 03 14   25.22      50   -3.38      92   610.6
2007 11 01 03 19   21.74      36   -3.26      91   610.7
2007 11 01 03 24   19.13      51   -3.26      94   610.7
2007 11 01 03 29   21.74      83   -3.45      93   610.7
2007 11 01 03 34   18.26      38   -3.50      90   610.7
2007 11 01 03 39   20.87      43   -3.38      87   610.6
2007 11 01 03 44   18.26      28   -3.21      96   610.7
2007 11 01 03 49   15.65      43   -2.89      97   610.8
2007 11 01 03 54   14.78      98   -2.84      97   610.8
2007 11 01 03 59   13.04     102   -2.96      97   610.8
2007 11 01 04 04   13.04      89   -2.96      97   610.8
2007 11 01 04 09   13.91      42   -2.96      97   610.8
2007 11 01 04 14   20.00      92   -3.01      97   610.7
2007 11 01 04 19   20.00     100   -3.09      97   610.7
2007 11 01 04 24   20.87      18   -3.13      97   610.6
2007 11 01 04 29   21.74      96   -2.84      98   610.6
2007 11 01 04 34   19.13      41   -2.89      98   610.6
2007 11 01 04 39   21.74      63   -2.89      98   610.6
2007 11 01 04 44   18.26      12   -3.01      97   610.5
2007 11 01 04 49   20.87      47   -3.09      97   610.7
2007 11 01 04 54   19.13      36   -2.96      98   610.7
2007 11 01 04 59   20.00      12   -2.96      97   610.7
2007 11 01 05 04   20.00       7   -3.01      98   610.7
2007 11 01 05 09   21.74      81   -2.64      99   610.8
2007 11 01 05 14   25.22       9   -2.40      99   610.7
2007 11 01 05 19   18.26     102   -2.28      98   610.9
2007 11 01 05 24   17.39      99   -3.01      95   611.0
2007 11 01 05 29   13.91      92   -3.49      94   611.1
2007 11 01 05 34   16.52      80   -3.62      96   611.1
2007 11 01 05 39   19.13      55   -3.38      98   611.2
2007 11 01 05 44   18.26     105   -3.26      97   611.2
2007 11 01 05 49   16.52      84   -3.26      98   611.3
2007 11 01 05 54   17.39     110   -3.21      97   611.3
2007 11 01 05 59   19.13      41   -2.89      98   611.4
2007 11 01 06 04   17.39      53   -2.35      99   611.4
2007 11 01 06 09   16.52      28   -2.23      99   611.4
2007 11 01 06 14   19.13      79   -2.23      98   611.5
2007 11 01 06 19   17.39     101   -2.15      98   611.5
2007 11 01 06 24   18.26      12   -2.15      98   611.6
2007 11 01 06 29   15.65      16   -2.23      98   611.8
2007 11 01 06 34   16.52      20   -2.15      98   611.8
2007 11 01 06 39   21.74      15   -2.15      98   611.9
2007 11 01 06 44   19.13      48   -2.15      97   611.9
2007 11 01 06 49   20.87      33   -2.27      96   612.1
2007 11 01 06 54   20.87      25   -2.52      93   612.1
2007 11 01 06 59   22.61      21   -2.76      90   612.2
2007 11 01 07 04   15.65     102   -2.96      91   612.2
2007 11 01 07 09   20.00     102   -2.84      94   612.4
2007 11 01 07 14   19.13     105   -2.59      95   612.3
2007 11 01 07 19   17.39      88   -2.47      96   612.4
