2008 06 01 00 04   12.17      84    0.90      19   618.8
2008 06 01 00 09   12.17      86    0.90      19   618.6
2008 06 01 00 14   12.17      51    0.82      19   618.6
2008 06 01 00 19   11.30      84    0.90      18   618.6
2008 06 01 00 24   11.30      72    0.95      18   618.6
2008 06 01 00 29   13.04      85    0.90      17   618.6
2008 06 01 00 34   13.04      81    0.90      16   618.6
2008 06 01 00 39   12.17      83    0.95      16   618.5
2008 06 01 00 44   13.91      83    1.00      16   618.5
2008 06 01 00 49   13.91      47    1.02      16   618.5
2008 06 01 00 54   13.91      79    1.07      15   618.4
2008 06 01 00 59   12.17      82    1.07      14   618.4
2008 06 01 01 04   14.78      79    1.07      14   618.3
2008 06 01 01 09   13.91      81    1.14      13   618.2
2008 06 01 01 14   13.04      65    0.90      26   618.2
2008 06 01 01 19   15.65      85    0.46      29   618.0
2008 06 01 01 24   16.52      88    0.21      38   618.0
2008 06 01 01 29   17.39      51    0.09      43   617.9
2008 06 01 01 34   18.26      93    0.04      43   617.8
2008 06 01 01 39   17.39      92    0.04      43   617.8
2008 06 01 01 44   18.26      93    0.04      42   617.7
2008 06 01 01 49   18.26      94    0.04      39   617.6
2008 06 01 01 54   17.39      66    0.09      43   617.6
2008 06 01 01 59   18.26      93    0.09      43   617.5
2008 06 01 02 04   15.65     101    0.09      40   617.5
2008 06 01 02 09   15.65      89    0.09      39   617.5
2008 06 01 02 14   17.39      98    0.09      40   617.5
2008 06 01 02 19   15.65      99    0.04      37   617.5
2008 06 01 02 24   15.65      99    0.04      37   617.4
2008 06 01 02 29   15.65      67    0.04      37   617.5
2008 06 01 02 34   16.52      37    0.09      38   617.5
2008 06 01 02 39   14.78      96    0.09      38   617.5
2008 06 01 02 44   13.04      99    0.16      30   617.6
2008 06 01 02 49   14.78      98    0.16      32   617.6
2008 06 01 02 54   12.17      98    0.16      36   617.7
2008 06 01 02 59   11.30     105    0.16      29   617.6
2008 06 01 03 04   10.43      99    0.21      35   617.7
2008 06 01 03 09   11.30     101    0.16      30   617.6
2008 06 01 03 14   11.30     101    0.16      34   617.6
2008 06 01 03 19   10.43     103    0.16      28   617.6
2008 06 01 03 24   10.43     102    0.16      30   617.6
2008 06 01 03 29    9.57     102    0.09      31   617.6
2008 06 01 03 34   10.43     104    0.09      35   617.6
2008 06 01 03 39   10.43     102    0.09      39   617.5
2008 06 01 03 44    9.57     101    0.04      41   617.5
2008 06 01 03 49   12.17      96    0.21      26   617.4
2008 06 01 03 54   13.91     103    0.77      27   617.4
2008 06 01 03 59   13.91     108    1.19      21   617.4
2008 06 01 04 04   13.91      78    1.43      12   617.4
2008 06 01 04 09   13.91      88    1.63      10   617.3
2008 06 01 04 14   16.52      96    1.68      10   617.3
2008 06 01 04 19   15.65      92    1.80       7   617.4
2008 06 01 04 24   15.65      91    1.99       7   617.4
