2001 06 01 00 09   5.30 165.61   0.33  69.34 615.43
2001 06 01 00 19   3.97 171.43   0.33  71.63 615.48
2001 06 01 00 29   3.14 206.56   0.46  70.66 615.39
2001 06 01 00 39   5.79 225.96   0.58  71.70 615.25
2001 06 01 00 49   5.39 249.08   0.58  79.40 615.26
2001 06 01 00 59   1.93 125.65   0.46  73.59 615.24
2001 06 01 01 09   4.66 240.56   0.41  74.03 615.11
2001 06 01 01 19   1.42 139.78   0.29  70.56 614.94
2001 06 01 01 29   5.30 174.06   0.16  79.47 614.86
2001 06 01 01 39   3.77 195.40   0.09  81.62 614.73
2001 06 01 01 49   4.81 172.05   0.04  73.08 614.71
2001 06 01 01 59   4.17 193.90   0.04  78.83 614.59
2001 06 01 02 09   6.17 198.11   0.09  81.84 614.49
2001 06 01 02 19   7.05 184.50   0.04  83.18 614.37
2001 06 01 02 29   9.11 171.88   0.09  84.30 614.32
2001 06 01 02 39   5.15 250.40   0.16  83.24 614.34
2001 06 01 02 49   3.98 236.09   0.21  82.30 614.29
2001 06 01 02 59   2.61 191.76   0.19  80.86 614.39
2001 06 01 03 09   2.71 193.47   0.04  84.40 614.37
2001 06 01 03 19   4.91 234.75  -0.08  85.82 614.34
2001 06 01 03 29   8.52 233.96  -0.08  87.30 614.31
2001 06 01 03 39   6.47 139.70  -0.04  87.47 614.33
2001 06 01 03 49   7.74 243.00  -0.08  87.37 614.32
2001 06 01 03 59   7.79 242.12  -0.08  87.21 614.32
2001 06 01 04 09   6.23 246.85  -0.07  86.97 614.46
2001 06 01 04 19   5.44 225.52  -0.15  84.42 614.39
2001 06 01 04 29   7.05 244.94  -0.08  77.98 614.34
2001 06 01 04 39   8.47 242.29  -0.04  74.91 614.24
2001 06 01 04 49   8.38 248.54  -0.08  77.20 614.17
2001 06 01 04 59   6.91 242.75  -0.15  79.69 614.24
2001 06 01 05 09   5.78 212.09  -0.32  81.45 614.28
2001 06 01 05 19   6.95 156.03  -0.44  82.94 614.26
2001 06 01 05 29   5.97 170.26  -0.52  83.18 614.41
2001 06 01 05 39   3.14 210.34  -0.52  83.96 614.50
2001 06 01 05 49   5.10 171.00  -0.51  84.84 614.72
2001 06 01 05 59   3.04 201.62  -0.69  86.21 614.86
2001 06 01 06 09   4.17 303.92  -0.56  86.82 614.89
2001 06 01 06 19   5.39 176.68  -0.27  80.98 614.88
2001 06 01 06 29   3.83 247.92   0.09  80.76 615.06
2001 06 01 06 39   5.31 234.48   0.04  81.12 615.15
2001 06 01 06 49   4.08 256.30  -0.15  80.57 615.33
2001 06 01 06 59   3.69 207.70  -0.04  79.47 615.45
2001 06 01 07 09   8.72 165.36   1.02  73.93 615.51
2001 06 01 07 19  10.86 161.67   2.05  67.14 615.60
2001 06 01 07 29   9.10 166.24   2.49  66.25 615.70
2001 06 01 07 39   7.40 163.33   2.66  66.95 615.91
2001 06 01 07 49   9.59 174.76   3.09  66.46 616.07
2001 06 01 07 59  10.46 163.15   2.92  66.98 616.17
2001 06 01 08 09   9.84 131.62   3.09  66.97 616.21
2001 06 01 08 19  11.50 153.13   3.51  65.58 616.21
2001 06 01 08 29  11.21 158.51   3.51  65.75 616.28
2001 06 01 08 39  10.42 168.24   3.22  67.09 616.35
2001 06 01 08 49   5.40 186.43   2.61  71.22 616.36
2001 06 01 08 59   6.52 169.41   2.36  72.72 616.40
2001 06 01 09 09   4.51 216.05   2.73  73.01 616.37
2001 06 01 09 19   9.79 212.80   2.78  71.73 616.39
2001 06 01 09 29   7.97 157.23   3.46  69.56 616.39
2001 06 01 09 39   6.78 303.25   3.95  66.73 616.48
2001 06 01 09 49   5.74 144.45   4.20  61.17 616.41
2001 06 01 09 59   9.54 163.33   4.32  62.80 616.38
2001 06 01 10 09  10.00 178.40   4.81  63.56 616.31
2001 06 01 10 19  16.13 169.85   5.41  56.65 616.28
2001 06 01 10 29  15.11 163.78   5.90  57.77 616.39
2001 06 01 10 39  12.26 177.13   5.17  59.58 616.44
2001 06 01 10 49   9.29 324.66   5.52  60.07 616.39
2001 06 01 10 59  10.47 170.20   5.71  58.11 616.34
2001 06 01 11 09  13.01 162.97   5.34  61.17 616.21
2001 06 01 11 19  14.28 264.41   5.69  57.48 616.26
2001 06 01 11 29  18.28 168.62   5.95  57.33 616.23
2001 06 01 11 39  11.45 153.58   5.90  49.08 616.18
2001 06 01 11 49  15.69 167.12   6.03  55.38 616.16
2001 06 01 11 59  12.35 157.53   5.79  52.22 616.05
2001 06 01 12 09  19.16 152.43   6.81  49.15 616.05
2001 06 01 12 19  15.79 156.12   6.52  43.70 616.16
2001 06 01 12 29  15.94 205.86   6.44  49.35 615.80
2001 06 01 12 39  10.62 160.59   6.03  50.27 615.97
2001 06 01 12 49  12.86 163.87   5.54  54.67 616.08
2001 06 01 12 59  17.60 181.33   5.66  50.15 615.86
2001 06 01 13 09  12.52 168.25   5.71  53.18 616.03
2001 06 01 13 19  13.11 159.78   5.79  51.15 615.95
2001 06 01 13 29  11.50 163.24   5.83  48.91 615.95
2001 06 01 13 39  11.21 143.11   5.95  51.15 615.93
2001 06 01 13 49  15.16 178.53   6.19  50.49 615.76
2001 06 01 13 59  16.33 150.43   6.93  48.25 615.75
2001 06 01 14 09   6.85 153.31   6.93  40.28 615.68
2001 06 01 14 19   6.86 155.69   6.52  46.49 615.65
2001 06 01 14 29   8.71 133.20   6.52  42.39 615.58
2001 06 01 14 39   9.01 170.20   5.59  52.18 615.47
2001 06 01 14 49  11.89 153.93   5.79  35.19 615.35
2001 06 01 14 59  11.64 134.15   4.98  35.29 615.25
2001 06 01 15 09  14.13 144.27   5.05  40.48 615.22
2001 06 01 15 19  11.44 173.98   4.49  48.08 615.32
2001 06 01 15 29  12.91 144.22   4.13  51.59 615.20
2001 06 01 15 39  11.48 181.07   4.13  70.03 615.28
2001 06 01 15 49  14.13 172.23   4.57  60.05 615.11
2001 06 01 15 59  12.32 168.61   4.20  56.43 615.12
2001 06 01 16 09  10.91 163.68   3.47  66.02 615.08
2001 06 01 16 19   6.52 215.18   3.34  67.22 615.11
2001 06 01 16 29   4.95 170.02   4.20  68.52 615.06
2001 06 01 16 39   6.37 213.85   3.76  67.07 615.07
2001 06 01 16 49   5.61 161.86   3.51  63.21 615.05
2001 06 01 16 59   3.44 179.92   2.73  68.90 615.13
2001 06 01 17 09   3.29 297.80   2.29  74.28 615.19
2001 06 01 17 19   2.99 293.34   2.24  77.15 615.16
2001 06 01 17 29   2.85 286.16   2.61  72.05 615.23
2001 06 01 17 39   5.54 277.43   2.74  72.71 615.22
2001 06 01 17 49   3.24 347.45   2.29  76.10 615.25
2001 06 01 17 59   6.39 318.64   2.00  82.79 615.33
2001 06 01 18 09  -0.08 165.01   2.24  73.69 615.29
2001 06 01 18 19   1.88 161.23   1.56  77.03 615.27
2001 06 01 18 29   1.88 174.15   0.66  86.33 615.37
2001 06 01 18 39   6.11 259.45   1.15  71.81 615.36
2001 06 01 18 49   6.47 259.71   1.80  60.85 615.51
2001 06 01 18 59   6.42 251.63   2.00  58.70 615.51
2001 06 01 19 09  10.66 250.72   1.68  52.40 615.45
2001 06 01 19 19   9.00 256.01   1.56  47.70 615.65
2001 06 01 19 29   7.99 261.38   1.32  51.77 615.69
2001 06 01 19 39   8.72 258.47   1.07  52.98 615.69
2001 06 01 19 49   8.69 260.15   0.95  60.05 615.77
2001 06 01 19 59   8.96 260.94   0.83  64.80 615.72
2001 06 01 20 09  10.28 262.00   0.70  62.50 615.69
2001 06 01 20 19  11.19 270.05   0.66  48.96 615.72
2001 06 01 20 29  10.54 269.34   0.58  31.74 615.77
2001 06 01 20 39  12.36 264.62   0.83  30.84 615.81
2001 06 01 20 49  10.57 254.60   1.02  28.91 615.89
2001 06 01 20 59  11.40 273.76   1.15  28.94 615.86
