2002 12 01 00 09   8.20 292.53   4.66  10.11 615.15
2002 12 01 00 19   5.86 314.47   4.78  10.26 615.09
2002 12 01 00 29   6.91 297.88   4.65  10.13 615.00
2002 12 01 00 39   7.55 302.64   4.65  10.03 614.94
2002 12 01 00 49   7.15 299.65   4.59  10.23 614.91
2002 12 01 00 59   7.79 302.29   4.58  10.52 614.89
2002 12 01 01 09   8.34 302.46   4.46  10.18 614.85
2002 12 01 01 19   9.71 300.88   4.34  11.46 614.72
2002 12 01 01 29   8.28 294.29   4.34  11.30 614.69
2002 12 01 01 39   7.99 299.48   4.17  11.13 614.66
2002 12 01 01 49   8.82 296.32   4.17  11.18 614.64
2002 12 01 01 59  10.75 295.80   4.22  11.82 614.59
2002 12 01 02 09   9.30 290.08   4.00  11.86 614.41
2002 12 01 02 19  10.03 291.39   4.00  11.47 614.39
2002 12 01 02 29  11.01 293.51   3.95  11.42 614.30
2002 12 01 02 39   9.94 288.10   3.75  11.59 614.22
2002 12 01 02 49  10.57 298.15   3.83  11.72 614.13
2002 12 01 02 59   9.54 303.11   3.63  12.01 613.99
2002 12 01 03 09   9.34 300.18   3.51  12.64 613.93
2002 12 01 03 19   9.29 301.24   3.39  12.06 613.90
2002 12 01 03 29  10.96 295.09   3.51  11.84 613.85
2002 12 01 03 39  11.35 291.82   3.39  11.57 613.84
2002 12 01 03 49  12.86 287.17   3.51  11.96 613.86
2002 12 01 03 59  12.16 291.47   3.51  12.16 613.89
2002 12 01 04 09  11.69 295.99   3.39  12.42 613.90
2002 12 01 04 19  11.35 298.16   3.26  12.64 613.92
2002 12 01 04 29   9.93 300.18   3.09  13.86 613.90
2002 12 01 04 39  10.27 293.50   2.97  13.79 613.94
2002 12 01 04 49  11.89 286.68   2.85  13.45 613.91
2002 12 01 04 59  11.01 298.78   2.77  14.55 613.98
2002 12 01 05 09  10.18 294.12   2.72  14.45 614.03
2002 12 01 05 19  11.55 316.95   2.65  15.59 614.06
2002 12 01 05 29  12.94 298.51   2.72  14.13 614.05
2002 12 01 05 39  11.74 300.17   2.90  14.03 614.18
2002 12 01 05 49  11.60 302.29   2.90  14.40 614.17
2002 12 01 05 59  12.28 302.37   2.97  14.38 614.36
2002 12 01 06 09  11.30 300.52   3.02  14.47 614.50
2002 12 01 06 19  11.59 304.20   3.02  14.52 614.61
2002 12 01 06 29  12.60 305.02   3.09  14.60 614.65
2002 12 01 06 39  11.60 299.04   3.26  14.20 614.84
2002 12 01 06 49  11.98 301.59   3.51  13.38 614.94
2002 12 01 06 59  10.66 302.29   3.63  13.38 615.07
2002 12 01 07 09   9.27 300.52   3.75  12.81 615.18
2002 12 01 07 19   8.92 291.30   3.58  12.69 615.30
2002 12 01 07 29   9.77 286.82   3.51  12.79 615.38
2002 12 01 07 39   9.94 305.99   3.83  12.79 615.45
2002 12 01 07 49   9.87 289.28   4.22  10.08 615.53
2002 12 01 07 59  10.85 293.59   4.59  10.13 615.61
2002 12 01 08 09  10.03 282.78   4.71  11.18 615.70
