1997 10 01 00 09   12.11  91.76  13.16    NaN
1997 10 01 00 29   14.20  78.94  12.95    NaN
1997 10 01 00 39   10.47  99.40  13.04    NaN
1997 10 01 00 49   12.45  76.96  12.51    NaN
1997 10 01 00 59    9.23  80.63  12.40    NaN
1997 10 01 01 09    9.42  60.13  11.93    NaN
1997 10 01 01 19    8.45  73.89  12.19    NaN
1997 10 01 01 29   10.23  61.00  11.71    NaN
1997 10 01 01 39   10.40  74.01  11.35    NaN
1997 10 01 01 59   12.93  79.42  11.26    NaN
1997 10 01 02 09   13.03  79.46  10.99    NaN
1997 10 01 02 19   11.63  68.03  10.55    NaN
1997 10 01 02 29   10.69  76.84  10.40    NaN
1997 10 01 02 39   11.84  62.13  10.31    NaN
1997 10 01 02 49   10.15  71.40   9.63    NaN
1997 10 01 02 59   10.02  73.47   8.87    NaN
1997 10 01 03 09   10.00  52.29   8.55    NaN
1997 10 01 03 19   10.33  82.44   8.68    NaN
1997 10 01 03 29    9.09  62.29   8.36    NaN
1997 10 01 03 39   14.46  63.12   8.26    NaN
1997 10 01 03 49   12.78  58.18   8.38    NaN
1997 10 01 03 59   12.35  65.86   8.27    NaN
1997 10 01 04 09   14.45  63.08   8.69    NaN
1997 10 01 04 19   13.59  66.58   8.55    NaN
1997 10 01 04 29   13.59  60.78   8.60    NaN
1997 10 01 04 39   13.48  59.62   8.59    NaN
1997 10 01 04 49   13.40  65.82   8.88    NaN
1997 10 01 04 59   15.17  64.50   9.27    NaN
1997 10 01 05 09   13.06  55.45   9.12    NaN
1997 10 01 05 19   14.41  59.63   8.76    NaN
1997 10 01 05 29   15.41  61.06   8.45    NaN
1997 10 01 05 39   12.48  66.06   7.94    NaN
1997 10 01 05 49   13.96  63.15   7.79    NaN
1997 10 01 05 59   13.78  56.33   7.65    NaN
1997 10 01 06 09   14.13  59.63   7.38    NaN
1997 10 01 06 19   16.11  65.55   7.56    NaN
1997 10 01 06 29   14.82  72.42   7.73    NaN
1997 10 01 06 39   14.91  69.48   8.03    NaN
1997 10 01 06 49   11.44  81.30   7.70    NaN
1997 10 01 06 59   15.05  75.38   7.95    NaN
1997 10 01 07 09   16.43  75.42   7.54    NaN
1997 10 01 07 19   17.25  76.89   8.07    NaN
1997 10 01 07 29   16.23  78.21   7.63    NaN
1997 10 01 07 39   16.58  77.97   7.68    NaN
1997 10 01 07 49   16.84  75.88   8.50    NaN
1997 10 01 07 59   15.46  84.59   8.65    NaN
1997 10 01 08 09   15.33  76.56   8.77    NaN
1997 10 01 08 19   15.06  78.66   8.41    NaN
1997 10 01 08 29   16.37  71.81   8.73    NaN
1997 10 01 08 39   16.20  75.91   8.80    NaN
1997 10 01 08 49   15.66  73.88   8.39    NaN
1997 10 01 08 59   13.03  73.59   8.85    NaN
1997 10 01 09 09   12.94  86.35   9.07    NaN
1997 10 01 09 19   15.46  75.80   8.62    NaN
1997 10 01 09 29   13.93  82.51   8.65    NaN
1997 10 01 09 39   13.99  75.86   8.90    NaN
1997 10 01 09 49   15.11  81.23   8.97    NaN
1997 10 01 09 59   12.22  91.11   8.88    NaN
1997 10 01 10 09   16.79  76.33   8.73    NaN
1997 10 01 10 19   15.64  80.30   9.13    NaN
1997 10 01 10 29   16.02  77.26   9.03    NaN
1997 10 01 10 39   16.45  73.13   8.91    NaN
1997 10 01 10 49   11.80  71.40   9.31    NaN
1997 10 01 10 59   16.38  79.64   9.17    NaN
1997 10 01 11 09   16.64  75.86   9.17    NaN
1997 10 01 11 19   15.73  81.82   9.13    NaN
1997 10 01 11 29   15.93  79.83   9.26    NaN
1997 10 01 11 39   15.60  83.63   8.88    NaN
1997 10 01 11 49   13.55  84.68   8.92    NaN
1997 10 01 11 59   15.43  75.41   9.07    NaN
1997 10 01 12 09   14.90  77.16   8.83    NaN
1997 10 01 12 19   14.76  82.27   8.91    NaN
1997 10 01 12 29   16.15  79.43   9.00    NaN
1997 10 01 12 39   13.55  93.43   8.77    NaN
1997 10 01 12 49   10.65  82.55   8.98    NaN
1997 10 01 12 59   14.27  84.53   8.79    NaN
1997 10 01 13 09   14.64  78.88   8.87    NaN
1997 10 01 13 19   11.73  97.62   8.76    NaN
1997 10 01 13 29   11.12  92.66   8.57    NaN
1997 10 01 13 39   11.02  82.70   8.61    NaN
1997 10 01 13 49   13.65  84.16   8.76    NaN
1997 10 01 13 59   12.02  85.02   8.66    NaN
1997 10 01 14 09   11.49  73.31   8.44    NaN
1997 10 01 14 19   13.14  86.20   8.82    NaN
1997 10 01 14 29   14.10  86.70   9.04    NaN
1997 10 01 14 39   13.51  84.07   8.85    NaN
1997 10 01 14 49   14.26  87.02   9.03    NaN
1997 10 01 14 59   13.80  81.99   8.98    NaN
1997 10 01 15 09   13.53  80.79   8.87    NaN
1997 10 01 15 19   13.24  84.70   9.15    NaN
1997 10 01 15 29   13.96  82.73   8.82    NaN
1997 10 01 15 39   13.29  80.32   8.80    NaN
1997 10 01 15 49   12.24  77.66   9.09    NaN
1997 10 01 15 59   12.72  82.29   8.84    NaN
1997 10 01 16 09   12.88  80.31   8.81    NaN
1997 10 01 16 19   13.76  85.82   9.00    NaN
1997 10 01 16 29   14.13  76.38   9.28    NaN
1997 10 01 16 39   15.53  77.54   9.77    NaN
1997 10 01 16 49   13.16  89.30   9.84    NaN
1997 10 01 16 59   11.20  76.34  10.30    NaN
1997 10 01 17 09   14.64  75.78  10.23    NaN
1997 10 01 17 19   14.99  83.17  10.51    NaN
1997 10 01 17 29   15.21  81.81  10.67    NaN
1997 10 01 17 39   14.39  76.43  10.94    NaN
1997 10 01 17 49   15.49  81.33  11.32    NaN
1997 10 01 17 59   15.63  84.65  11.26    NaN
1997 10 01 18 09   15.48  84.85  11.74    NaN
1997 10 01 18 19   15.02  86.65  11.47    NaN
1997 10 01 18 29   13.28  95.37  11.79    NaN
1997 10 01 18 39   14.29  68.47  11.99    NaN
1997 10 01 18 49   13.80  89.50  12.34    NaN
1997 10 01 18 59   13.89  85.52  12.17    NaN
1997 10 01 19 09   12.45  75.87  12.24    NaN
1997 10 01 19 19   13.42  83.23  12.24    NaN
1997 10 01 19 29   12.34  84.66  12.25    NaN
1997 10 01 19 39   11.64  71.43  12.96    NaN
1997 10 01 19 49   10.59  88.18  13.01    NaN
1997 10 01 19 59   12.58  88.66  13.51    NaN
1997 10 01 20 09   11.20 102.78  13.16    NaN
1997 10 01 20 19   12.27  88.64  13.26    NaN
1997 10 01 20 29   11.63  95.10  13.12    NaN
1997 10 01 20 39   11.91  93.16  13.34    NaN
1997 10 01 20 49   10.96  92.53  13.47    NaN
1997 10 01 20 59    8.94  85.19  13.67    NaN
1997 10 01 21 09    7.76  79.33  13.58    NaN
1997 10 01 21 19   10.39  98.95  13.27    NaN
1997 10 01 21 29   10.43  94.07  13.36    NaN
1997 10 01 21 39   11.42 121.05  13.51    NaN
1997 10 01 21 49   13.80  86.75  13.32    NaN
1997 10 01 21 59   13.13  88.11  13.36    NaN
1997 10 01 22 09    9.76  95.81  13.27    NaN
1997 10 01 22 19   10.54  86.16  13.50    NaN
1997 10 01 22 29   14.40  88.63  13.48    NaN
1997 10 01 22 39    9.28 113.59  13.34    NaN
1997 10 01 22 49    7.95 109.77  13.38    NaN
1997 10 01 22 59   10.78  91.97  13.22    NaN
1997 10 01 23 09   10.47 105.29  13.26    NaN
1997 10 01 23 19   12.97 103.80  13.69    NaN
1997 10 01 23 29   12.94  86.66  13.46    NaN
1997 10 01 23 39    9.13 100.65  13.63    NaN
1997 10 01 23 49    7.22  98.97  13.42    NaN
1997 10 01 23 59    7.50 117.50  13.16    NaN
1997 10 02 00 09   10.88  97.50  13.24    NaN
1997 10 02 00 19    2.10 105.71  12.90    NaN
1997 10 02 00 29    4.73 109.93  13.00    NaN
1997 10 02 00 39    8.49  96.93  13.12    NaN
1997 10 02 00 49    7.11  80.11  12.63    NaN
1997 10 02 00 59    6.25  98.48  12.52    NaN
1997 10 02 01 09    5.24 103.04  12.16    NaN
1997 10 02 01 19    5.99 122.90  12.16    NaN
1997 10 02 01 29    6.71  94.06  12.62    NaN
1997 10 02 01 39    5.54  76.34  12.89    NaN
1997 10 02 01 49    4.74 108.73  12.24    NaN
1997 10 02 01 59    4.56 118.20  11.84    NaN
1997 10 02 02 09    6.74  89.65  12.26    NaN
1997 10 02 02 19    5.96  82.92  12.18    NaN
1997 10 02 02 29    4.76  90.32  11.71    NaN
1997 10 02 02 39    4.80  86.07  11.79    NaN
1997 10 02 02 49    1.69 106.77  11.76    NaN
1997 10 02 02 59    4.98  89.14  11.59    NaN
1997 10 02 03 09    2.59 114.13  11.38    NaN
1997 10 02 03 19    4.45  91.27  10.82    NaN
1997 10 02 03 29    7.17  89.31  10.68    NaN
1997 10 02 03 39    4.92  98.18  10.42    NaN
1997 10 02 03 49    6.40  93.55  10.04    NaN
1997 10 02 03 59    6.16  92.07  10.34    NaN
1997 10 02 04 09    4.40  97.49  10.21    NaN
1997 10 02 04 19    4.10  92.08   9.76    NaN
1997 10 02 04 29    5.04  93.62   9.70    NaN
1997 10 02 04 39    3.29  93.07   9.39    NaN
1997 10 02 04 49    2.28  86.19   9.64    NaN
1997 10 02 04 59    1.64  88.61   9.84    NaN
