2001 04 01 14 49   5.05 190.65   0.58  75.76 613.70
2001 04 01 14 59   7.35 152.50   0.26  79.08 613.63
2001 04 01 15 09   5.39 147.57   0.16  76.05 613.65
2001 04 01 15 19   8.91 145.58   0.63  75.78 613.65
2001 04 01 15 29   5.64 128.64   1.51  74.88 613.61
2001 04 01 15 39   4.66 174.67   0.77  75.49 613.72
2001 04 01 15 49   3.29 243.71   0.70  76.71 613.72
2001 04 01 15 59   4.61 304.33   0.16  80.54 613.74
2001 04 01 16 09   2.71 282.27   0.58  73.76 613.75
2001 04 01 16 19   3.78 240.04   1.02  73.00 613.87
2001 04 01 16 29   1.35 158.76   0.82  69.85 613.93
2001 04 01 16 39   4.17 164.30   0.29  74.20 613.97
2001 04 01 16 49   2.89 227.63   0.16  78.69 614.08
2001 04 01 16 59   6.17 139.71   0.09  69.14 614.15
2001 04 01 17 09   2.47 154.18  -0.21  78.24 614.25
2001 04 01 17 19   4.86 235.97  -0.52  81.37 614.20
2001 04 01 17 29   7.40 161.16  -0.76  76.61 614.29
2001 04 01 17 39   8.27 165.27  -0.69  83.36 614.27
2001 04 01 17 49  10.58 173.81  -0.93  84.18 614.29
2001 04 01 17 59   8.62 164.65  -1.13  82.05 614.41
2001 04 01 18 09   8.35 171.61  -1.13  82.59 614.52
2001 04 01 18 19   9.96 168.41  -1.25  80.86 614.66
2001 04 01 18 29   8.33 164.56  -1.42  86.77 614.75
2001 04 01 18 39   4.17 177.30  -1.61  86.90 614.77
2001 04 01 18 49   5.78 198.73  -1.55  87.21 614.84
2001 04 01 18 59   6.72 169.93  -1.55  87.96 614.86
2001 04 01 19 09   8.13 169.14  -1.74  86.03 614.94
2001 04 01 19 19  10.18 169.27  -1.86  83.96 614.98
2001 04 01 19 29   8.68 163.95  -2.03  82.50 615.14
2001 04 01 19 39   5.67 194.79  -1.98  86.99 615.17
2001 04 01 19 49   7.73 173.29  -1.98  88.09 615.27
2001 04 01 19 59   6.61 161.76  -1.91  89.52 615.32
2001 04 01 20 09   7.30 168.33  -1.91  90.37 615.29
2001 04 01 20 19   7.81 175.46  -1.98  90.65 615.32
2001 04 01 20 29   7.20 168.17  -1.98  89.08 615.44
2001 04 01 20 39   6.41 165.61  -2.15  90.89 615.59
2001 04 01 20 49   6.81 164.13  -2.23  90.91 615.55
2001 04 01 20 59   5.97 159.03  -2.36  92.55 615.58
2001 04 01 21 09   5.83 156.21  -2.47  90.91 615.60
2001 04 01 21 19   6.55 159.12  -2.40  91.23 615.59
2001 04 01 21 29   4.27 155.16  -2.23  95.45 615.54
2001 04 01 21 39   4.81 182.03  -1.91  93.18 615.53
2001 04 01 21 49   6.76 171.42  -1.91  91.74 615.55
2001 04 01 21 59   5.93 173.81  -1.94  91.15 615.52
2001 04 01 22 09   5.93 176.51  -1.79  91.52 615.48
2001 04 01 22 19   4.12 178.88  -1.79  92.20 615.45
2001 04 01 22 29   5.60 163.15  -2.03  91.52 615.47
2001 04 01 22 39   6.36 164.92  -2.28  84.20 615.41
2001 04 01 22 49   6.95 155.20  -2.35  76.70 615.28
2001 04 01 22 59   9.16 156.63  -2.35  65.50 615.18
2001 04 01 23 09   8.72 158.76  -2.51  69.87 615.09
2001 04 01 23 19   6.95 170.10  -2.40  65.87 615.05
2001 04 01 23 29   7.01 165.61  -2.23  65.97 614.95
2001 04 01 23 39   7.35 165.36  -1.98  80.68 614.95
2001 04 01 23 49   6.32 162.97  -2.03  72.95 614.85
2001 04 01 23 59   6.11 163.32  -2.16  51.73 614.73
2001 04 02 00 09   8.67 160.88  -2.16  78.98 614.61
2001 04 02 00 19   6.65 170.10  -2.16  53.71 614.57
2001 04 02 00 29   7.40 176.77  -2.23  63.93 614.42
2001 04 02 00 39   6.76 178.35  -2.23  60.43 614.29
2001 04 02 00 49   7.10 174.55  -2.11  84.84 614.14
2001 04 02 00 59   5.94 168.49  -1.98  89.63 614.08
2001 04 02 01 09   8.00 169.84  -2.03  83.40 613.96
2001 04 02 01 19   7.40 161.15  -2.15  86.35 613.96
2001 04 02 01 29   6.32 153.57  -2.24  73.05 613.93
2001 04 02 01 39   6.07 151.55  -2.23  84.32 613.92
2001 04 02 01 49   6.52 164.83  -2.11  90.06 613.83
2001 04 02 01 59   6.51 159.72  -1.98  88.78 613.70
2001 04 02 02 09   6.52 165.87  -2.03  87.46 613.61
2001 04 02 02 19   5.92 172.58  -2.03  86.98 613.47
2001 04 02 02 29   5.05 170.10  -1.98  86.81 613.43
2001 04 02 02 39   4.48 150.16  -2.23  87.56 613.38
2001 04 02 02 49   6.56 164.21  -2.28  89.35 613.32
2001 04 02 02 59   6.07 155.59  -2.35  89.47 613.28
2001 04 02 03 09   6.47 148.66  -2.35  88.91 613.20
2001 04 02 03 19   8.00 166.32  -2.40  90.96 613.10
2001 04 02 03 29   7.79 156.21  -2.43  89.93 613.10
2001 04 02 03 39   9.06 152.07  -2.52  89.30 613.10
2001 04 02 03 49   8.91 147.69  -2.59  91.50 613.24
2001 04 02 03 59   7.60 146.90  -2.72  87.94 613.34
2001 04 02 04 09   8.87 138.29  -2.72  88.15 613.57
2001 04 02 04 19   7.09 139.70  -2.72  91.68 613.76
2001 04 02 04 29   9.02 138.12  -2.64  92.38 613.83
2001 04 02 04 39  11.30 128.55  -2.84  92.08 613.91
2001 04 02 04 49   6.55 135.11  -2.59  90.52 614.05
2001 04 02 04 59   7.74 142.86  -2.59  83.84 614.17
2001 04 02 05 09  10.08 134.94  -2.96  85.41 614.22
2001 04 02 05 19  11.50 133.99  -3.08  89.37 614.32
2001 04 02 05 29  11.16 128.99  -2.88  89.33 614.42
2001 04 02 05 39  11.96 131.09  -2.88  88.91 614.50
2001 04 02 05 49  11.40 137.85  -2.96  89.79 614.61
2001 04 02 05 59  11.12 140.39  -3.13  92.70 614.67
2001 04 02 06 09  10.26 141.10  -3.08  94.33 614.74
2001 04 02 06 19  11.30 135.83  -3.21  94.41 614.87
2001 04 02 06 29  12.36 142.68  -2.96  95.46 614.98
2001 04 02 06 39  11.55 140.65  -2.76  94.51 615.03
2001 04 02 06 49  12.96 141.88  -2.52  94.77 615.14
2001 04 02 06 59  12.52 145.74  -2.22  94.45 615.20
2001 04 02 07 09  10.62 141.88  -2.10  93.50 615.22
2001 04 02 07 19  10.98 144.27  -1.98  92.67 615.34
2001 04 02 07 29   9.88 144.48  -1.86  93.01 615.38
2001 04 02 07 39   8.67 140.06  -1.78  89.18 615.45
2001 04 02 07 49   9.16 141.18  -1.86  88.35 615.52
2001 04 02 07 59   9.84 140.23  -1.66  85.72 615.62
2001 04 02 08 09   9.74 126.01  -1.62  86.99 615.70
2001 04 02 08 19  10.33 126.26  -1.37  89.35 615.70
2001 04 02 08 29   9.69 132.14  -1.30  87.76 615.76
2001 04 02 08 39   7.47 141.63  -1.13  86.24 615.85
2001 04 02 08 49  13.20 119.81  -0.57  86.16 615.83
2001 04 02 08 59  11.06 125.39  -0.32  78.08 615.87
2001 04 02 09 09  13.56 123.51   0.21  82.40 615.86
2001 04 02 09 19  13.55 107.36   0.82  74.68 615.86
2001 04 02 09 29  15.39 122.83   0.82  75.51 615.80
2001 04 02 09 39  18.30 113.04   0.90  66.14 615.77
2001 04 02 09 49  15.06 137.58   0.82  74.00 615.79
2001 04 02 09 59  16.72 114.40   0.65  62.82 615.72
2001 04 02 10 09  19.88 121.82   0.41  53.50 615.69
2001 04 02 10 19  18.32 101.56   0.95  44.78 615.74
2001 04 02 10 29  12.13 136.09   1.31  56.20 615.69
2001 04 02 10 39  13.59 114.04   1.19  57.91 615.70
2001 04 02 10 49  15.19 164.39   1.68  64.19 615.72
2001 04 02 10 59  11.55 109.20   1.92  62.04 615.81
2001 04 02 11 09   9.84 153.49   1.51  60.41 615.87
2001 04 02 11 19  12.91 130.39   1.19  58.99 615.73
2001 04 02 11 29  10.13 100.41   1.14  60.26 615.76
2001 04 02 11 39  10.25 165.97   0.77  61.60 615.66
