2006 12 31 23 59   25.22      71    0.50      12   615.3
2007 12 01 00 04   11.30     343    1.01      79   614.5
2007 12 01 00 09    9.57     342    0.90      74   614.5
2007 12 01 00 14    9.57     334    1.02      63   614.5
2007 12 01 00 19   11.30     346    1.07      59   614.5
2007 12 01 00 24    9.57     324    1.02      59   614.4
2007 12 01 00 29   11.30     335    0.95      66   614.5
2007 12 01 00 34   10.43     343    0.82      74   614.5
2007 12 01 00 39    8.70     341    0.90      77   614.4
2007 12 01 00 44    6.96     343    0.95      73   614.4
2007 12 01 00 49    6.09     315    1.07      71   614.4
2007 12 01 00 54    6.09     352    1.26      72   614.5
2007 12 01 00 59    6.96      76    1.39      72   614.5
2007 12 01 01 04    8.70     356    1.26      76   614.4
2007 12 01 01 09    8.70     341    1.14      76   614.4
2007 12 01 01 14    9.57     338    1.14      78   614.3
2007 12 01 01 19   10.43     329    1.19      80   614.2
2007 12 01 01 24   12.17     328    1.26      84   614.2
2007 12 01 01 29   13.04     312    1.31      85   614.1
2007 12 01 01 34   12.17     323    1.31      85   614.1
2007 12 01 01 39   12.17     327    1.26      85   614.1
2007 12 01 01 44   12.17     322    1.19      85   614.0
2007 12 01 01 49   13.04     321    1.14      86   613.9
2007 12 01 01 54   13.91     320    1.14      85   613.8
2007 12 01 01 59   13.91     320    1.14      86   613.8
2007 12 01 02 04   13.04     268    1.14      86   613.8
2007 12 01 02 09   11.30     310    1.14      87   613.7
2007 12 01 02 14   12.17     312    1.07      87   613.7
2007 12 01 02 19   11.30     297    1.14      87   613.7
2007 12 01 02 24   13.04     311    1.19      85   613.6
2007 12 01 02 29   11.30     311    1.26      84   613.6
2007 12 01 02 34   12.17     205    1.39      83   613.6
2007 12 01 02 39   10.43     237    1.39      81   613.5
2007 12 01 02 44   13.04     302    1.44      82   613.6
2007 12 01 02 49    9.57     355    1.44      82   613.6
2007 12 01 02 54   13.91     301    1.39      82   613.6
2007 12 01 02 59   12.17     316    1.31      84   613.6
2007 12 01 03 04   11.30     311    1.19      85   613.6
2007 12 01 03 09   10.43     321    1.07      87   613.5
2007 12 01 03 14   11.30     297    0.95      88   613.6
2007 12 01 03 19   11.30     324    0.82      88   613.6
2007 12 01 03 24   10.43     317    0.82      89   613.5
2007 12 01 03 29   11.30     321    0.77      89   613.6
2007 12 01 03 34   10.43     321    0.70      90   613.6
2007 12 01 03 39    9.57     266    0.70      90   613.6
2007 12 01 03 44   11.30     312    0.70      89   613.6
2007 12 01 03 49   12.17     289    0.70      89   613.6
2007 12 01 03 54   12.17     309    0.82      87   613.5
2007 12 01 03 59   11.30     316    1.07      84   613.5
2007 12 01 04 04   12.17     313    1.19      85   613.5
2007 12 01 04 09   13.04     303    1.19      84   613.5
2007 12 01 04 14   10.43     312    1.14      85   613.5
2007 12 01 04 19   13.04     315    1.07      86   613.5
2007 12 01 04 24   12.17     319    1.07      86   613.5
2007 12 01 04 29   11.30     298    1.07      84   613.6
2007 12 01 04 34   12.17     314    1.14      85   613.5
2007 12 01 04 39   11.30     277    1.19      84   613.6
2007 12 01 04 44   11.30     316    1.14      86   613.6
2007 12 01 04 49   10.43     303    1.07      85   613.7
2007 12 01 04 54   12.17     321    1.07      84   613.7
2007 12 01 04 59   13.91     315    1.14      82   613.7
2007 12 01 05 04   12.17     293    1.26      82   613.7
2007 12 01 05 09   13.04     296    1.27      81   613.7
2007 12 01 05 14   13.04     315    1.31      81   613.8
2007 12 01 05 19   13.04     315    1.26      81   613.9
2007 12 01 05 24   11.30     277    1.19      81   613.9
2007 12 01 05 29   12.17     321    1.14      82   613.9
2007 12 01 05 34   12.17     317    1.07      83   613.9
2007 12 01 05 39   13.04     317    1.02      82   614.0
2007 12 01 05 44   10.43     217    1.07      82   614.1
2007 12 01 05 49   11.30     273    1.02      81   614.1
2007 12 01 05 54   10.43     317    1.07      82   614.2
2007 12 01 05 59    7.83     292    1.07      82   614.2
2007 12 01 06 04   11.30     315    1.07      82   614.3
2007 12 01 06 09    9.57     274    1.07      83   614.3
2007 12 01 06 14    9.57     311    1.07      83   614.4
2007 12 01 06 19   10.43     270    1.02      84   614.4
2007 12 01 06 24   11.30     260    1.07      84   614.4
2007 12 01 06 29   11.30     275    1.02      84   614.5
2007 12 01 06 34    9.57     274    1.04      84   614.5
2007 12 01 06 39    7.83     289    1.14      84   614.5
2007 12 01 06 44    9.57     295    1.19      83   614.6
2007 12 01 06 49    7.83     299    1.31      83   614.6
2007 12 01 06 54    9.57     317    1.31      83   614.7
2007 12 01 06 59    7.83     267    1.39      82   614.7
2007 12 01 07 04    8.70     295    1.44      81   614.7
2007 12 01 07 09    7.83     310    1.63      81   614.8
2007 12 01 07 14    8.70     319    1.63      81   614.8
2007 12 01 07 19    8.70     308    1.63      81   614.9
2007 12 01 07 24    7.83     307    1.55      81   614.9
