1994 03 01 00 00    0.00   0.00    NaN   0.00
1994 03 01 00 10    0.00   0.00    NaN   0.00
1994 03 01 00 20    0.00   0.00    NaN   0.00
1994 03 01 00 30    0.00   0.00    NaN   0.00
1994 03 01 00 40    0.00   0.00    NaN   0.00
1994 03 01 00 50    0.00   0.00    NaN   0.00
1994 03 01 01 00    0.00   0.00    NaN   0.00
1994 03 01 01 10    0.00   0.00    NaN   0.00
1994 03 01 01 20    0.00   0.00    NaN   0.00
1994 03 01 01 30    0.00   0.00    NaN   0.00
1994 03 01 01 40    0.07   0.02    NaN   0.00
1994 03 01 01 50    0.00   0.00    NaN   0.00
1994 03 01 02 00    0.07   0.03    NaN   0.00
1994 03 01 02 10    0.13   0.03    NaN   0.00
1994 03 01 02 20    0.01   0.01    NaN   0.00
1994 03 01 02 30    0.09   0.04    NaN   0.00
1994 03 01 02 40    0.02   0.02    NaN   0.00
1994 03 01 02 50    0.04   0.02    NaN   0.00
1994 03 01 03 00    0.05   0.02    NaN   0.00
1994 03 01 03 10    0.12   0.04    NaN   0.00
1994 03 01 03 20    0.16   0.06    NaN   0.00
1994 03 01 03 30    0.13   0.06    NaN   0.00
1994 03 01 03 40    0.14   0.07    NaN   0.00
1994 03 01 03 50    0.22   0.09    NaN   0.00
1994 03 01 04 00    0.20   0.08    NaN   0.00
1994 03 01 04 10    0.13   0.05    NaN   0.00
1994 03 01 04 20    0.12   0.05    NaN   0.00
1994 03 01 04 30    0.13   0.05    NaN   0.00
1994 03 01 04 40    0.08   0.02    NaN   0.00
1994 03 01 04 50    0.04   0.02    NaN   0.00
1994 03 01 05 00    0.03   0.02    NaN   0.00
1994 03 01 05 10    0.02   0.01    NaN   0.00
1994 03 01 05 20    0.00   0.00    NaN   0.00
1994 03 01 05 30    0.00   0.00    NaN   0.00
1994 03 01 05 40    0.00   0.00    NaN   0.00
1994 03 01 05 50    0.00   0.00    NaN   0.00
1994 03 01 06 00    0.00   0.00    NaN   0.00
1994 03 01 06 10    0.00   0.00    NaN   0.00
1994 03 01 06 20    0.00   0.00    NaN   0.00
1994 03 01 06 30    0.00   0.00    NaN   0.00
1994 03 01 06 40    0.00   0.00    NaN   0.00
1994 03 01 06 50    0.00   0.00    NaN   0.00
1994 03 01 07 00    0.00   0.00    NaN   0.00
1994 03 01 07 10    0.00   0.00    NaN   0.00
1994 03 01 07 20    0.00   0.00    NaN   0.00
1994 03 01 07 30    0.00   0.00    NaN   0.00
1994 03 01 07 40    0.00   0.00    NaN   0.00
1994 03 01 07 50    0.00   0.00    NaN   0.00
1994 03 01 08 00    0.00   0.00    NaN   0.00
1994 03 01 08 10    0.00   0.00    NaN   0.00
1994 03 01 08 20    0.00   0.00    NaN   0.00
1994 03 01 08 30    0.00   0.00    NaN   0.00
1994 03 01 08 40    0.00   0.00    NaN   0.00
1994 03 01 08 50    0.00   0.00    NaN   0.00
1994 03 01 09 00    0.00   0.00    NaN   0.00
